value;groups;type;reverted;label_en;description_en;label_pt;description_pt
compensation.empe_hs.r.pc;Wages and value of labour force;percent;FALSE;Share of high-skilled labour compensation;Share of employee compensation paid to high-skilled employees (% of total compensation);Parcela da remuneração dos trabalhadores de alta qualificação;Parcela da remuneração dos trabalhadores assalariados de alta qualificação (% do total da remuneração)
compensation.empe_ms.r.pc;Wages and value of labour force;percent;FALSE;Share of medium-skilled labour compensation;Share of employee compensation paid to medium-skilled employees (% of total compensation);Parcela da remuneração dos trabalhadores de média qualificação;Parcela da remuneração dos trabalhadores assalariados de média qualificação (% do total da remuneração)
compensation.empe_ls.r.pc;Wages and value of labour force;percent;FALSE;Share of low-skilled labour compensation;Share of employee compensation paid to low-skilled employees (% of total compensation);Parcela da remuneração dos trabalhadores de baixa qualificação;Parcela da remuneração dos trabalhadores assalariados de baixa qualificação (% do total da remuneração)
hours_worked.empe_hs.r.pc;Labour and employment;percent;FALSE;Share of hours worked by high-skilled employees;Share of hours worked by high-skilled employees (% of total hours worked);Parcela das horas trabalhadas por trabalhadores de alta qualificação;Parcela das horas trabalhadas por trabalhadores assalariados de alta qualificação (% do total de horas trabalhadas)
hours_worked.empe_ms.r.pc;Labour and employment;percent;FALSE;Share of hours worked by medium-skilled employees;Share of hours worked by medium-skilled employees (% of total hours worked);Parcela das horas trabalhadas por trabalhadores de média qualificação;Parcela das horas trabalhadas por trabalhadores assalariados de média qualificação (% do total de horas trabalhadas)
hours_worked.empe_ls.r.pc;Labour and employment;percent;FALSE;Share of hours worked by low-skilled employees;Share of hours worked by low-skilled employees (% of total hours worked);Parcela das horas trabalhadas por trabalhadores de baixa qualificação;Parcela das horas trabalhadas por trabalhadores assalariados de baixa qualificação (% do total de horas trabalhadas)
emp.s.un;Labour and employment;integer;FALSE;Number of persons engaged;Total number of persons engaged;Número de pessoas ocupadas;Número total de pessoas ocupadas
empe.s.un;Labour and employment;integer;FALSE;Number of employees;Total number of employees;Número de trabalhadores assalariados;Número total de trabalhadores assalariados
hours_worked.empe.s.hr;Labour and employment;hours;FALSE;Total hours worked by employees;Total number of hours worked by employees;Total de horas trabalhadas por trabalhadores assalariados;Número total de horas trabalhadas por trabalhadores assalariados
gross_output.s.us;Product;usd;FALSE;Gross output (USD);Gross output in USD;Produto total (USD);Produto total em USD
gdp.s.us;Product;usd;FALSE;Gross Domestic Product (USD);Gross Domestic Product in current USD;Produto Interno Bruto (USD);Produto Interno Bruto em USD corrente
