Code;English;Português
ISO3.AFG;Afghanistan;Afeganistão
ISO3.ALA;Aland Islands;
ISO3.ALB;Albania;Albânia
ISO3.DZA;Algeria;Argélia
ISO3.ASM;American Samoa;
ISO3.AND;Andorra;Andorra
ISO3.AGO;Angola;Angola
ISO3.AIA;Anguilla;
ISO3.ATA;Antarctica;
ISO3.ATG;Antigua and Barbuda;Antiga e Barbuda
ISO3.ARG;Argentina;Argentina
ISO3.ARM;Armenia;Arménia
ISO3.ABW;Aruba;
ISO3.AUS;Australia;Austrália
ISO3.AUT;Austria;Áustria
ISO3.AZE;Azerbaijan;Azerbaijão
ISO3.BHS;Bahamas;Bahamas
ISO3.BHR;Bahrain;Barém
ISO3.BGD;Bangladesh;Bangladexe
ISO3.BRB;Barbados;Barbados
ISO3.BLR;Belarus;Bielorrússia
ISO3.BEL;Belgium;Bélgica
ISO3.BLZ;Belize;Belize
ISO3.BEN;Benin;Benim
ISO3.BMU;Bermuda;
ISO3.BTN;Bhutan;Butão
ISO3.BOL;Bolivia;Bolívia
ISO3.BIH;Bosnia and Herzegovina;Bósnia e Herzegovina
ISO3.BWA;Botswana;Botsuana
ISO3.BVT;Bouvet Island;
ISO3.BRA;Brazil;Brasil
ISO3.VGB;British Virgin Islands;
ISO3.IOT;British Indian Ocean Territory;
ISO3.BRN;Brunei Darussalam;Brunei
ISO3.BGR;Bulgaria;Bulgária
ISO3.BFA;Burkina Faso;Burquina Faso
ISO3.BDI;Burundi;Burúndi
ISO3.KHM;Cambodia;Camboja
ISO3.CMR;Cameroon;Camarões
ISO3.CAN;Canada;Canadá
ISO3.CPV;Cape Verde;Cabo Verde
ISO3.CYM;Cayman Islands;
ISO3.CAF;Central African Republic;República Centro-Africana
ISO3.TCD;Chad;Chade
ISO3.CHL;Chile;Chile
ISO3.CHN;China;China
ISO3.HKG;Hong Kong, SAR China;
ISO3.MAC;Macao, SAR China;
ISO3.CXR;Christmas Island;
ISO3.CCK;Cocos (Keeling) Islands;
ISO3.COL;Colombia;Colômbia
ISO3.COM;Comoros;Comores
ISO3.COG;Congo (Brazzaville);Congo-Brazzaville
ISO3.COD;Congo, (Kinshasa);República Democrática do Congo
ISO3.COK;Cook Islands;
ISO3.CRI;Costa Rica;Costa Rica
ISO3.CIV;Côte d'Ivoire;Costa do Marfim
ISO3.HRV;Croatia;Croácia
ISO3.CUB;Cuba;Cuba
ISO3.CYP;Cyprus;Chipre
ISO3.CZE;Czech Republic;República Checa
ISO3.DNK;Denmark;Dinamarca
ISO3.DJI;Djibouti;Jibuti
ISO3.DMA;Dominica;Dominica
ISO3.DOM;Dominican Republic;República Dominicana
ISO3.ECU;Ecuador;Equador
ISO3.EGY;Egypt;Egito
ISO3.SLV;El Salvador;Salvador
ISO3.GNQ;Equatorial Guinea;Guiné Equatorial
ISO3.ERI;Eritrea;Eritreia
ISO3.EST;Estonia;Estónia
ISO3.ETH;Ethiopia;Etiópia
ISO3.FLK;Falkland Islands (Malvinas);
ISO3.FRO;Faroe Islands;
ISO3.FJI;Fiji;Fiji
ISO3.FIN;Finland;Finlândia
ISO3.FRA;France;França
ISO3.GUF;French Guiana;
ISO3.PYF;French Polynesia;
ISO3.ATF;French Southern Territories;
ISO3.GAB;Gabon;Gabão
ISO3.GMB;Gambia;Gâmbia
ISO3.GEO;Georgia;Geórgia
ISO3.DEU;Germany;Alemanha
ISO3.GHA;Ghana;Gana
ISO3.GIB;Gibraltar;
ISO3.GRC;Greece;Grécia
ISO3.GRL;Greenland;
ISO3.GRD;Grenada;Granada
ISO3.GLP;Guadeloupe;
ISO3.GUM;Guam;
ISO3.GTM;Guatemala;Guatemala
ISO3.GGY;Guernsey;
ISO3.GIN;Guinea;Guiné
ISO3.GNB;Guinea-Bissau;Guiné-Bissau
ISO3.GUY;Guyana;Guiana
ISO3.HTI;Haiti;Haiti
ISO3.HMD;Heard and Mcdonald Islands;
ISO3.VAT;Holy See (Vatican City State);Vaticano
ISO3.HND;Honduras;Honduras
ISO3.HUN;Hungary;Hungria
ISO3.ISL;Iceland;Islândia
ISO3.IND;India;Índia
ISO3.IDN;Indonesia;Indonésia
ISO3.IRN;Iran, Islamic Republic of;Irão
ISO3.IRQ;Iraq;Iraque
ISO3.IRL;Ireland;Irlanda
ISO3.IMN;Isle of Man;
ISO3.ISR;Israel;Israel
ISO3.ITA;Italy;Itália
ISO3.JAM;Jamaica;Jamaica
