cod_label;label
basket_price.r.pc;Basket price index (in national currency)
basket_value.r.pc;Basket value index
capital_depreciation.s.us;Capital depreciation (USD)
capital_stock.s.cu;Capital stock (constant USD)
capital_stock.s.us;Capital stock (USD)
compensation.empe.s.us;Compensation of employees (USD)
complex_labour_multiplier.emp.r.un;Complex labour multiplier
complex_labour_multiplier.empe.r.un;Complex labour multiplier (employee only)
exchange.r.us;Exchange rate (USD)
exchange.r.id;Exchange rate index
gdp.s.du;Gross Domestic Product (direct prices - USD)
gdp.s.mv;Gross Domestic Product (magnitude of value)
gdp.s.us;Gross Domestic Product (USD)
gdp.p.s.us;Gross Domestic Product of productive sectors (USD)
gross_output.s.du;Gross output (direct prices - USD)
gross_output.s.mv;Gross output (magnitude of value)
gross_output.s.us;Gross output (USD)
go_price.r.id;Gross output price index
abstract_labour.emp.s.mv;Hours of abstract labour
abstract_labour.empe.s.mv;Hours of abstract labour (employee only)
compensation.emp.s.us;Labour compensation (USD)
labour_force_value.m.mv;Labour force value (mean)
empe.s.un;Number of employee
emp.s.un;Number of persons engaged
appropriated_profit.r.pc;Rate of profit
surplus_value.empe.r.pc;Rate of surplus value
surplus_value.empe_hs.r.pc;Rate of surplus value of high-skilled employee
surplus_value.empe_ls.r.pc;Rate of surplus value of low-skilled employee
surplus_value.empe_ms.r.pc;Rate of surplus value of medium-skilled employee
surplus_value.emp.r.pc;Rate of surplus value of persons enganged in production
surplus_value.emp_p.r.pc;Rate of surplus value of persons enganged in production (productive sectors only)
labour_force_value.emp.s.mv;Reproduction value of persons engaged in production
labour_force_value.emp.m.mv;Reproduction value of persons engaged in production (mean)
compensation.empe_hs.r.pc;Share of high-skilled labour compensation
hours_worked.empe_hs.r.pc;Share of hours worked by high-skilled persons engaged
hours_worked.empe_ls.r.pc;Share of hours worked by low-skilled persons engaged
hours_worked.empe_ms.r.pc;Share of hours worked by medium-skilled persons engaged
compensation.empe_ls.r.pc;Share of low-skilled labour compensation
compensation.empe_ms.r.pc;Share of medium-skilled labour compensation
exports.s.mv;Total exports (magnitude of value)
exports.s.us;Total exports (USD)
hours_worked.empe.s.hr;Total hours worked by employees
hours_worked.emp.s.hr;Total hours worked by persons engaged
imports.s.mv;Total imports (magnitude of value)
imports.s.us;Total imports (USD)
labour_force_value.s.mv;Total labour force value (total)
profit.s.us;Total profit (USD)
compensation.empe.s.cu;Total real compensation of labour (constant USD)
compensation.emp.s.cu;Total real wage (constant USD)
trade_balance.s.mv;Trade balance (magnitude of value)
trade_balance.s.us;Trade balance (USD)
value.m.mv;Value per output
trade_transfers.s.mv;Value transfer through trade
trade_transfers.p.s.mv;Value transfer through trade of productive sectors
trade_transfers.p.m.pc;Value transfer through trade of productive sectors (%)
trade_transfers.u.s.mv;Value transfer through trade of unproductive sectors
abstract_labour.empe.m.mv;Working day of employee per year (magnitude of value)
abstract_labour.emp.m.mv;Working day of persons engaged per year (magnitude of value)
desc.basket_price.r.pc;Índice de preços da cesta de consumo dos trabalhadores em moeda nacional (ano base = 2000)
