cod_label;label
ps.title.setup_panel;Setup panel
tab_name.how_to_quote;How to Quote
ps.language;Language
ps.bases_info;Bases Info
ps.base_1;Base 1
ps.base_2;Base 2
ps.base_3;Base 3
ps.base_4;Base 4
ps.title.bases_info;Bases Info
DESC.rpA1;
DESC.rpA2;
DESC.Eora26;
DESC.Exiobase;
DESC.EXI37;
DESC.norow_w13;
DESC.rpO1;
ps.base_code;Base code:
ps.base_source;Source:
ps.base_name;Name:
ps.description;Description:
text.quote;When using the data or code in papers, analysis, rehearsals or other publications, we ask to cite as:
tab_name.countries;Countries
tab_name.trade;Trade
co_select_country.placeholder;Search a country...
big.mark;,
decimal.mark;.
hours;hours
