value;groups;type;reverted
basket_price.r.pc;Others;index;FALSE
basket_value.r.pc;Others;index;FALSE
capital_depreciation.s.us;Capital;usd;FALSE
capital_stock.s.cu;Capital;usd;FALSE
capital_stock.s.us;Capital;usd;FALSE
compensation.empe.s.us;Wages and value of labour force;usd;FALSE
complex_labour_multiplier.emp.r.un;Others;index;FALSE
complex_labour_multiplier.empe.r.un;Others;index;FALSE
exchange.r.us;Others;usd;FALSE
exchange.r.id;Others;index;FALSE
gdp.s.du;Product;usd;FALSE
gdp.s.mv;Product;value;FALSE
gdp.s.us;Product;usd;FALSE
gdp.p.s.us;Product;usd;FALSE
gross_output.s.du;Product;usd;FALSE
gross_output.s.mv;Product;value;FALSE
gross_output.s.us;Product;usd;FALSE
go_price.r.id;Others;index;FALSE
abstract_labour.emp.s.mv;Labour and employment;hours;FALSE
abstract_labour.empe.s.mv;Labour and employment;hours;FALSE
compensation.emp.s.us;Wages and value of labour force;usd;FALSE
labour_force_value.m.mv;Wages and value of labour force;value;FALSE
empe.s.un;Labour and employment;integer;FALSE
emp.s.un;Labour and employment;integer;FALSE
appropriated_profit.r.pc;Capital;percent;FALSE
surplus_value.empe.r.pc;Rate of surplus value;percent;TRUE
surplus_value.empe_hs.r.pc;Rate of surplus value;percent;TRUE
surplus_value.empe_ls.r.pc;Rate of surplus value;percent;TRUE
surplus_value.empe_ms.r.pc;Rate of surplus value;percent;TRUE
surplus_value.emp.r.pc;Rate of surplus value;percent;TRUE
surplus_value.emp_p.r.pc;Rate of surplus value;percent;TRUE
labour_force_value.emp.s.mv;Wages and value of labour force;value;FALSE
labour_force_value.emp.m.mv;Wages and value of labour force;value;FALSE
compensation.empe_hs.r.pc;Wages and value of labour force;percent;FALSE
hours_worked.empe_hs.r.pc;Labour and employment;percent;FALSE
hours_worked.empe_ls.r.pc;Labour and employment;percent;FALSE
hours_worked.empe_ms.r.pc;Labour and employment;percent;FALSE
compensation.empe_ls.r.pc;Wages and value of labour force;percent;FALSE
compensation.empe_ms.r.pc;Wages and value of labour force;percent;FALSE
exports.s.mv;International trade;value;FALSE
exports.s.us;International trade;usd;FALSE
hours_worked.empe.s.hr;Labour and employment;hours;FALSE
hours_worked.emp.s.hr;Labour and employment;hours;FALSE
imports.s.mv;International trade;value;FALSE
imports.s.us;International trade;usd;FALSE
labour_force_value.s.mv;Wages and value of labour force;value;FALSE
profit.s.us;Capital;usd;FALSE
compensation.empe.s.cu;Wages and value of labour force;usd;FALSE
compensation.emp.s.cu;Wages and value of labour force;usd;FALSE
trade_balance.s.mv;International trade;value;FALSE
trade_balance.s.us;International trade;usd;FALSE
value.m.mv;Product;value;FALSE
trade_transfers.s.mv;International trade;value;FALSE
trade_transfers.p.s.mv;International trade;value;FALSE
trade_transfers.p.m.pc;International trade;percent;FALSE
trade_transfers.u.s.mv;International trade;value;FALSE
abstract_labour.empe.m.mv;Labour and employment;value;FALSE
abstract_labour.emp.m.mv;Labour and employment;value;FALSE
