Code;English;Português
wiodr13.TOT;TOTAL INDUSTRIES;
wiodr13.AtB;AGRICULTURE, HUNTING, FORESTRY AND FISHING;
wiodr13.C;MINING AND QUARRYING;
wiodr13.15t16;FOOD , BEVERAGES AND TOBACCO;
wiodr13.17t18;Textiles and textile;
wiodr13.19;Leather, leather and footwear;
wiodr13.20;WOOD AND OF WOOD AND CORK;
wiodr13.21t22;PULP, PAPER, PAPER , PRINTING AND PUBLISHING;
wiodr13.23;Coke, refined petroleum and nuclear fuel;
wiodr13.24;Chemicals and chemical;
wiodr13.25;Rubber and plastics;
wiodr13.26;OTHER NON-METALLIC MINERAL;
wiodr13.27t28;BASIC METALS AND FABRICATED METAL;
wiodr13.29;MACHINERY, NEC;
wiodr13.30t33;ELECTRICAL AND OPTICAL EQUIPMENT;
wiodr13.34t35;TRANSPORT EQUIPMENT;
wiodr13.36t37;"MANUFACTURING NEC; RECYCLING";
wiodr13.E;ELECTRICITY, GAS AND WATER SUPPLY;
wiodr13.F;CONSTRUCTION;
wiodr13.50;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of fuel";
wiodr13.51;Wholesale trade and commission trade, except of motor vehicles and motorcycles;
wiodr13.52;"Retail trade, except of motor vehicles and motorcycles; repair of household goods";
wiodr13.H; HOTELS AND RESTAURANTS;
wiodr13.60;Other Inland transport;
wiodr13.61;Other Water transport;
wiodr13.62;Other Air transport;
wiodr13.63;"Other Supporting and auxiliary transport activities; activities of travel agencies";
wiodr13.64;POST AND TELECOMMUNICATIONS;
wiodr13.J;FINANCIAL INTERMEDIATION;
wiodr13.70;Real estate activities;
wiodr13.71t74;Renting of m&eq and other business activities;
wiodr13.L;"PUBLIC ADMIN AND DEFENCE; COMPULSORY SOCIAL SECURITY";
wiodr13.M;EDUCATION;
wiodr13.N;HEALTH AND SOCIAL WORK;
wiodr13.O;OTHER COMMUNITY, SOCIAL AND PERSONAL SERVICES;
wiodr13.P;PRIVATE HOUSEHOLDS WITH EMPLOYED PERSONS;
